Movie_Title ,Released_Year,Humour_Type,Scene_Type,Duration_Sec,Total_Cuts,Word_Count,Tension_Score,Notes
Annie Hall,1977,Intellectual Satire,Hook,105,1,304,1,A simple verbal introduction of the main character. 
Annie Hall,1977,Intellectual Satire,Conflict,80,2,227,6,"Tension is arisen within a funny ambience, where the society is not being involved. "
Annie Hall,1977,Intellectual Satire,Climax,208,33,414,9,"Verbally presented with lot of cuts and dialogues, but with intense word usages. "
Airplane!,1980,Surreal Parody,Hook,188,29,280,3,"Characters are introduced with less tension, in a more funny way. "
Airplane!,1980,Surreal Parody,Conflict,821,115,1511,6,"Long sequence - Tension is high, but balanced with literal humour, involving more cuts and dialogues. "
Airplane!,1980,Surreal Parody,Climax,274,75,352,9,"Breath-taking sequence, involving more of the visual cuts than the dialogues. "
Ghostbusters,1984,Dry Comedy,Hook,210,32,221,5,"A scene with horror modulation, where the main characters stay casual for most of the time, until the peak moment arises.  "
Ghostbusters,1984,Dry Comedy,Conflict,369,120,481,7,"Chaos of trapping a ghost is shown with energy - More cuts, yet in a funny manner. "
Ghostbusters,1984,Dry Comedy,Climax,315,82,319,10,"A sequence with high graphics and more cuts, where the life of the characters are at risk. "
Groundhog Day,1993,Situational Irony,Hook,360,42,543,4,A couple of sequences depicting the confusion of the main character. 
Groundhog Day,1993,Situational Irony,Conflict,285,66,335,7,"Verbally rich scene, where the main character shows his potential of predicting things while living a life in the loop. "
Groundhog Day,1993,Situational Irony,Climax,284,47,311,9,"Emotionally high sequence, where the society is happy about the main character for his good deeds. "
Office Space,1999,Observational Satire,Hook,191,43,47,5,"A sequence of introducing the characters in a slow, yet visually rich manner, with more cuts and fewer dialogues. "
Office Space,1999,Observational Satire,Conflict,165,39,277,6,"A turning point sequence that make to feel that something is going wrong, presented through words and cuts. "
Office Space,1999,Observational Satire,Climax,138,29,78,9,"A visually rich sequence showing the fire-breakout of the office, but saving the main character ultimately. "
Shaun of the Dead,2004,Stylized Comedy,Hook,44,1,49,1,"A normal sequence of the main character walking to a shop, with no cuts. "
Shaun of the Dead,2004,Stylized Comedy,Conflict,138,71,108,8,"A sequence where music has been given prominence, and the edits are seen to be at the peak. Both cuts and music aligns perfectly here. "
Shaun of the Dead,2004,Stylized Comedy,Climax,368,115,429,10,An emotionally-rich survival sequence with instable cuts and risky chaos being shown. 
Mean Girls,2004,Social Satire,Hook,223,84,356,4,A sequence featuing the main character on a social ambience. Less visually and more verbally presented. 
Mean Girls,2004,Social Satire,Conflict,165,38,227,8,A socially rich sequence featuring the chaotic situation arising in the school. Verbal usage is high here as well. 
Mean Girls,2004,Social Satire,Climax,278,81,389,9,"An happy ending sequence, involving almost every characters, more verbally presented. "
